bill_id, 1, numTerms, avgRank, lowestRank, percentCIC, bill_status
s1994,1,2,3.46153846154,1,0.96,REFERRED
hr2763,1,14,1.66666666667,1,0.0,REFERRED
hr2946,1,10,4.6,1,0.0,REFERRED
hr2945,1,16,1.0,1,0.015,REFERRED
hr2760,1,14,30,20,0.0,REFERRED
hr2943,1,4,4.77777777778,1,0.00235294117647,REFERRED
hr2766,1,7,4.25,1,0.112,REFERRED
s856,1,10,4.875,1,0.96,REFERRED
s857,1,10,3.52631578947,1,0.04,REFERRED
s854,1,1,6.4,1,0.06,REFERRED
s855,1,9,3.0,1,0.0,REFERRED
s852,1,10,3.5,1,0.48,REFERRED
s853,1,3,3.77777777778,1,0.0,PASS_OVER:SENATE
s850,1,2,4.375,1,0.0188235294118,REFERRED
s851,1,10,3.5,1,0.106666666667,REPORTED
hr2940,1,9,6.33333333333,3,0.096,REFERRED
s858,1,10,3.5,1,0.0,REFERRED
s859,1,2,5.72727272727,1,0.96,REFERRED
hr2235,1,8,6.375,1,0.0025,REFERRED
hr2542,1,11,3.16666666667,1,0.032,REPORTED
hr2541,1,2,10.7142857143,2,0.00421052631579,REFERRED
s2365,1,2,4.31578947368,1,0.96,REFERRED
s2364,1,1,5.27777777778,1,0.16,REFERRED
s2367,1,6,4.22222222222,1,0.106666666667,REFERRED
s2366,1,4,2.66666666667,1,0.0,REFERRED
s2361,1,9,3.0,1,0.16,REFERRED
s2360,1,6,5.0,1,0.00695652173913,REFERRED
s86,1,5,4.46666666667,1,0.0,REFERRED
s2362,1,1,5.875,1,0.12,REFERRED
s88,1,5,4.46666666667,1,0.0,REFERRED
s89,1,5,4.46666666667,1,0.96,REFERRED
s2369,1,7,3.55555555556,1,0.0,REFERRED
s2368,1,9,3.78571428571,1,0.0,REFERRED
hr2230,1,9,1.85714285714,1,0.96,REFERRED
hr2545,1,13,3.66666666667,1,0.213333333333,REFERRED
hr2544,1,2,8.5,1,0.0171428571429,REFERRED
hr696,1,1,9.0,2,0.06,REFERRED
hr697,1,2,9.77777777778,1,0.06,ENACTED:SIGNED
hr694,1,8,4.71428571429,1,0.0,REFERRED
hr695,1,2,9.22222222222,1,0.0294736842105,REFERRED
hr692,1,2,9.1,1,0.24,REFERRED
hr693,1,9,3.8,1,0.000434782608696,REFERRED
hr690,1,10,3.0,1,0.0021978021978,REFERRED
hr691,1,20,1.0,1,0.213333333333,REFERRED
hr1254,1,1,11.4444444444,1,0.00595744680851,REFERRED
hr698,1,9,6.25,4,0.0037037037037,REPORTED
hr699,1,6,1.0,1,0.00952380952381,REFERRED
hr1252,1,9,3.4,1,0.000923076923077,REFERRED
hr1253,1,5,5.5,1,0.96,REFERRED
hr1250,1,7,5.6,1,0.000344827586207,REFERRED
hr1251,1,1,5.85714285714,2,0.0153846153846,REFERRED
hr1380,1,3,8.66666666667,2,0.0210526315789,REPORTED
hr1381,1,2,7.8,1,0.0218181818182,REFERRED
hr1382,1,6,1.0,1,0.24,REFERRED
hr1383,1,3,6.66666666667,1,0.06,REFERRED
hr1384,1,3,6.66666666667,1,0.0210526315789,REPORTED
hr1929,1,2,6.83333333333,2,0.96,REFERRED
hr1386,1,3,6.8,4,0.00170212765957,REFERRED
hr1387,1,3,5.375,1,0.00727272727273,REFERRED
hr1924,1,1,14.8333333333,6,0.106666666667,REFERRED
hr1389,1,14,1.66666666667,1,0.00117647058824,REFERRED
hr1434,1,1,13.0,5,0.96,REFERRED
hr1435,1,7,4.16666666667,1,0.0,REFERRED
hr1920,1,14,2.33333333333,1,0.00173913043478,REFERRED
hr1433,1,4,8.0,1,0.00136363636364,REFERRED
hr1922,1,2,7.125,2,0.06,REFERRED
hr1923,1,2,11.5,4,0.0133333333333,REFERRED
hr4350,1,1,13.0,5,0.96,REPORTED
hr4351,1,3,10.2857142857,5,0.000628272251309,REFERRED
hr4352,1,4,11.3333333333,3,0.00888888888889,REFERRED
hr4353,1,2,13.25,8,0.0355555555556,REFERRED
hr4354,1,2,9.66666666667,3,0.0,REFERRED
hr4356,1,2,9.71428571429,1,0.213333333333,REFERRED
hr4357,1,4,4.77777777778,1,0.0016,REFERRED
hr4358,1,3,7.33333333333,2,0.0,REFERRED
hr4359,1,1,13.7142857143,7,0.0,REFERRED
hr4605,1,2,17.75,12,0.08,REFERRED
hr4602,1,2,9.33333333333,4,0.0,REFERRED
hr4603,1,6,4.6,1,0.0,REFERRED
hr4600,1,6,3.36363636364,1,0.0,REFERRED
hr4601,1,1,6.375,3,0.96,REFERRED
hr3878,1,1,9.25,4,0.00133333333333,REFERRED
hr3879,1,2,9.71428571429,1,0.0533333333333,REFERRED
hr3870,1,10,8.0,4,0.0139130434783,REFERRED
hr3871,1,5,6.0,1,0.96,REFERRED
hr3872,1,2,9.375,1,0.133333333333,REFERRED
hr3873,1,7,7.33333333333,3,0.0533333333333,REFERRED
hr3874,1,1,11.4444444444,1,0.0,REFERRED
hr3875,1,7,4.5,1,0.96,REFERRED
hr3876,1,5,6.33333333333,1,0.12,REFERRED
hr3877,1,5,3.66666666667,1,0.00217391304348,REFERRED
hr1658,1,2,6.375,1,0.00434782608696,REFERRED
hr1659,1,4,9.5,4,0.213333333333,REFERRED
hr1652,1,3,6.6,2,0.000416666666667,REFERRED
hr1653,1,2,10.6666666667,4,0.00489795918367,REFERRED
hr1650,1,12,2.57142857143,1,0.0,REFERRED
hr1651,1,5,8.66666666667,4,0.0,REFERRED
hr1656,1,3,6.66666666667,1,0.96,REFERRED
hr1657,1,3,15.3333333333,8,0.0222222222222,REFERRED
hr1654,1,2,10.6666666667,4,0.0266666666667,REFERRED
hr1655,1,3,4.33333333333,1,0.0,REFERRED
hr3388,1,9,3.0,1,0.12,REFERRED
hr3382,1,2,10.3333333333,5,0.00603773584906,REFERRED
hr3383,1,1,14.5,7,0.00375,REFERRED
hr3380,1,19,11.2857142857,1,0.0,REFERRED
hr3381,1,7,5.0,1,0.96,REPORTED
hr3386,1,14,6.2,1,0.00375,REFERRED
hr3387,1,1,13.3333333333,7,0.0355555555556,REFERRED
hr3384,1,1,10.8333333333,4,0.0025,REFERRED
hr3385,1,1,8.16666666667,1,0.0,REFERRED
hr3126,1,2,11.4285714286,4,0.0,REFERRED
hr3127,1,2,7.16666666667,1,0.0,REFERRED
hr3124,1,9,7.66666666667,3,0.96,REFERRED
hr3657,1,2,10.7142857143,2,0.0466666666667,REFERRED
hr3650,1,8,6.0,2,0.0133333333333,REFERRED
hr3651,1,11,1.66666666667,1,0.0,REFERRED
hr3120,1,10,3.0,1,0.24,REFERRED
hr3121,1,3,4.33333333333,1,0.00481203007519,REFERRED
hr3658,1,9,3.75,1,0.000401337792642,ENACTED:SIGNED
hr3659,1,6,5.85714285714,2,0.96,REFERRED
hr3128,1,5,9.5,3,0.08,REFERRED
hr3129,1,5,6.5,2,0.0,REFERRED
s18,1,1,4.1875,1,0.0,REFERRED
hr2381,1,25,1.5,1,0.0,REFERRED
hr2380,1,9,3.0,1,0.0,REFERRED
hr2383,1,1,18.2857142857,6,0.0117647058824,ENACTED:SIGNED
hr2830,1,5,5.58333333333,1,0.96,REFERRED
hr2385,1,2,10.0,2,0.0457142857143,REPORTED
hr2384,1,3,5.14285714286,1,0.0008,REFERRED
hr2387,1,11,2.14285714286,1,0.00625,REFERRED
s118,1,5,5.2,1,0.0,REFERRED
s117,1,2,4.31578947368,1,0.0,REFERRED
s116,1,6,3.6,1,0.00461538461538,REFERRED
s115,1,2,5.0,1,0.96,REFERRED
s114,1,10,3.52631578947,1,0.0164705882353,REFERRED
s113,1,10,3.52631578947,1,0.02,REFERRED
s112,1,4,2.66666666667,1,0.24,PASS_OVER:SENATE
s111,1,5,4.46666666667,1,0.0,REFERRED
s110,1,5,4.46666666667,1,0.0,REFERRED
s1052,1,2,5.72727272727,1,0.106666666667,REFERRED
s1053,1,12,2.0,1,0.0290909090909,REFERRED
s1050,1,3,3.77777777778,1,0.0466666666667,REFERRED
s1051,1,3,3.77777777778,1,0.24,REFERRED
s1056,1,2,5.0,1,0.015,REFERRED
s1057,1,6,4.22222222222,1,0.0,REFERRED
s1054,1,7,9.0,9,0.0,REFERRED
s1507,1,8,4.72727272727,1,0.0107692307692,REFERRED
s1508,1,12,3.73333333333,1,0.213333333333,REFERRED
s1509,1,4,2.66666666667,1,0.24,REFERRED
s1058,1,5,4.6875,1,0.48,REFERRED
s1059,1,7,4.85714285714,1,0.24,REFERRED
hr506,1,4,7.625,1,0.00363636363636,REFERRED
hr507,1,6,5.57142857143,1,0.0222222222222,ENACTED:SIGNED
hr504,1,7,3.5,1,0.04,REFERRED
hr505,1,4,8.75,3,0.0311111111111,REFERRED
hr502,1,14,6.9,1,0.0,REFERRED
hr503,1,3,4.33333333333,1,0.00111111111111,PASS_OVER:HOUSE
hr500,1,2,6.33333333333,2,0.0,REFERRED
hr501,1,10,8.0,4,0.008,REFERRED
hr508,1,2,11.5,6,0.00208333333333,REFERRED
hr509,1,3,5.57142857143,1,0.0,REFERRED
hr2525,1,4,6.0,1,0.24,REFERRED
hr2524,1,3,7.25,2,0.18,REFERRED
hr2527,1,2,9.375,1,0.00571428571429,PASS_OVER:HOUSE
hr2526,1,11,2.33333333333,1,0.48,REFERRED
hr2521,1,3,10.3333333333,3,0.08,REFERRED
hr2520,1,1,9.0,3,0.00842105263158,REFERRED
hr2523,1,12,2.5,1,0.00043956043956,REFERRED
hr2522,1,11,2.14285714286,1,0.0,REFERRED
hr2529,1,2,9.375,1,0.00131147540984,REFERRED
hr2528,1,2,9.375,1,0.48,REFERRED
hr449,1,7,2.6,1,0.028,REFERRED
hr448,1,2,7.125,2,0.0,REFERRED
hr443,1,2,8.33333333333,3,0.0,REFERRED
hr442,1,3,9.16666666667,3,0.0,REFERRED
hr441,1,3,9.16666666667,3,0.0,REFERRED
hr440,1,3,9.16666666667,3,0.0,REFERRED
hr447,1,6,6.16666666667,1,0.000666666666667,REFERRED
hr446,1,3,5.14285714286,1,0.24,REFERRED
