bill_id,intercept_term,num_cosponsors,introduced_month,num_voting_rounds,num_passed_rounds,amount,bipartisan score,% of cosponsors in the committee it is referred to,historical rate for success,historical rate for getting out committee,Vote-mean,Vote-stdev,Vote-hist-10%,Vote-hist-25%,Vote-hist-50%,Vote-hist-75%,Vote-hist-90%,status
hjres61,1,1,9,0,0,53912.6,0,0,0.0483870968,0.2741935484,0.8287426971,1.9049041762,-1.0621716885,-0.3766765095,0.4569906416,1.0510489424,3.9024601389,REFERRED
hjres62,1,83,9,0,0,71391.6666666667,0.9879518072,0.0338461538,0.0426540284,0.2654028436,0.2057739538,0.7986451279,-0.8726704528,-0.4350599387,0.3482296037,0.8321480372,1.1742067689,REFERRED
hjres63,1,1,9,0,0,59601.6666666667,1,0.04,0.0100250627,0.0601503759,0.8988056293,2.6941751032,-2.0767855648,-0.5572604411,0.5490927749,1.3282800083,5.181879542,REFERRED
hjres64,1,57,9,0,0,22383.8125,0.9824561404,0,0.0563991323,0.3383947939,0.2777201704,0.8963706438,-0.8647525909,-0.3374521456,0.2777200338,0.8357882836,1.3141661499,REFERRED
hjres65,1,1,9,0,0,24378,1,0,0.0337142857,0.1388571429,0.678419654,2.1727198836,-1.7587337719,-0.5743205391,0.3834170151,1.1010340789,4.0501674078,REFERRED
hjres66,1,5,9,0,0,76816.6190476191,1,0,0.0563991323,0.3383947939,0.724351125,2.0455050149,-1.3380892958,-0.4989218185,0.3591447347,0.9161552943,4.1531510573,REFERRED
hjres67,1,1,9,0,0,24378,1,0,0.0337142857,0.1388571429,0.9357869938,1.9390773018,-1.0171926638,-0.3184576816,0.6574657324,1.225251853,3.8445542948,REFERRED
hjres68,1,37,9,0,0,81074.4615384615,0.1081081081,0,0.1050583658,0.2010376135,0.8817858629,1.8795920979,-1.0189667919,-0.3484724915,0.6489707165,1.1739665544,3.6184061534,REFERRED
hjres69,1,1,9,0,0,76816.6190476191,1,0.1066666667,0.3079268293,0.5030487805,0.5357418673,2.0002248686,-1.3071682338,-0.6328148978,0.0079568174,0.6734439888,3.5011093332,REFERRED
hjres7,1,2,1,0,0,11968.0833333333,0,0.00125,0.0337142857,0.1388571429,0.9753278076,2.2433737485,-1.3026990399,-0.3768704248,0.56468018,1.2923638419,4.57600168,REFERRED
hjres70,1,1,10,2,1,342469.75,1,0.0016216216,0.0509838998,0.2826086957,0.5679826048,1.902855633,-1.2280739995,-0.4731870075,0.1345814133,0.7760212117,3.1014127808,PASS_OVER:HOUSE
hjres71,1,1,10,2,1,163872,0,0,0.0347826087,0.1217391304,0.843642829,1.8501352777,-1.3417078361,-0.4383149931,0.7269819397,1.4155402069,3.3511398679,PASS_OVER:HOUSE
hjres72,1,1,10,2,1,22990.25,1,0,0.1325301205,0.2771084337,0.3045645685,1.9933289571,-1.2352970347,-0.933264277,-0.4590075298,0.5680739415,3.8217634139,PASS_OVER:HOUSE
hjres73,1,1,10,1,1,35533.5,1,0.0005633803,0.0602134146,0.2538109756,0.6269492347,2.3625249551,-1.6610487344,-0.8219156475,0.1082627986,0.7009588351,4.6140721701,PASS_OVER:HOUSE
hjres74,1,1,10,0,0,90292.7777777778,1,0.112,0.0337142857,0.1388571429,0.7397226449,2.120917009,-1.5168144828,-0.5198514271,0.3805688676,1.000340358,4.2526659962,REFERRED
