billid, x, binned score, bipartisan score, status
hr5346,1,0.5,0.5,REFERRED
hr5347,1,0.5,0.5,REFERRED
hr5348,1,1.0,1.0,REFERRED
hr5349,1,0.7,0.666666666667,REFERRED
hr535,1,0.0,0.0,REFERRED
hr5350,1,1.0,1.0,REFERRED
hr5351,1,1.0,1.0,REFERRED
hr5352,1,0.0,0.0,REFERRED
hr5353,1,0.0,0.0,REFERRED
hr5354,1,0.4,0.434782608696,REFERRED
hr5355,1,1.0,1.0,REFERRED
hr5356,1,1.0,1.0,REFERRED
hr5357,1,0.5,0.5,REFERRED
hr5358,1,1.0,1.0,REFERRED
hr5359,1,0.0,0.0,REFERRED
hr536,1,0.0,0.0,REFERRED
hr5360,1,1.0,1.0,REFERRED
hr5361,1,0.5,0.5,REFERRED
hr5362,1,0.2,0.157894736842,REFERRED
hr5363,1,0.0,0.0,REFERRED
hr5364,1,0.0,0.0,REFERRED
hr5365,1,0.0,0.0,REFERRED
hr5366,1,0.5,0.5,REFERRED
hr5367,1,1.0,1.0,REFERRED
hr5368,1,0.0,0.0,REFERRED
hr5369,1,0.5,0.5,REFERRED
hr537,1,0.1,0.125,REFERRED
hr5370,1,0.0,0.0,REFERRED
hr5371,1,1.0,1.0,REFERRED
hr5372,1,0.0,0.0,REFERRED
hr5373,1,0.0,0.0,REFERRED
hr5374,1,1.0,1.0,REFERRED
hr5375,1,0.0,0.0,REFERRED
hr5376,1,1.0,1.0,REFERRED
hr5377,1,0.0,0.0,REFERRED
hr5378,1,0.5,0.5,REFERRED
hr5379,1,0.8,0.75,REFERRED
hr538,1,0.0,0.0,REFERRED
hr5380,1,0.2,0.2,REFERRED
hr5381,1,0.5,0.5,REFERRED
hr5382,1,0.8,0.8,REFERRED
hr5383,1,0.0,0.0,REFERRED
hr5384,1,1.0,1.0,REFERRED
hr5385,1,0.8,0.75,REFERRED
hr5386,1,0.8,0.75,REPORTED
hr5387,1,0.8,0.75,REFERRED
hr5388,1,0.0,0.0,REFERRED
hr5389,1,1.0,1.0,REFERRED
hr539,1,0.3,0.285714285714,REFERRED
hr5390,1,0.0,0.0,REFERRED
hr5391,1,0.5,0.5,REFERRED
hr5392,1,1.0,1.0,REFERRED
hr5393,1,0.5,0.5,REFERRED
hr5394,1,1.0,1.0,REFERRED
hr5395,1,0.2,0.2,REFERRED
hr5396,1,0.0,0.0,REFERRED
hr5397,1,1.0,1.0,REFERRED
hr5398,1,0.3,0.25,REFERRED
